poem_style,poem_text,poem_title,poet_cat,poet_name,poem_generate_text,score
فصحى, ذهبت وكان المرء يبلو ويبتلي اطالع ما قال المجر بن مالك فلم ار الا هيج ريح تقطعت اعاصير في ارض سهوب مهالك فلا ذنب لي لو كنت اضطر ضيعتي الي جول,ذَهَبتُ وَكانَ المَرءُ يَبلو وَيُبتَلى ,العراق,أبو الأسود الدؤلي, ذهبت وكان المرء يبلو ويبتلي اطالع ما قال المجر بن مالك فلم ار الا هيج ريح تقطعت اعاصير في ارض سهوب مهالك فلا ذنب لي لو كنت اضطر ضيعتي الي جول الرياح,0.968
فصحى, يا من له قدم في الفضل راسخة ومن له علم في العلم مرفوع ومن له مقول كالسيف منصلت وخاطر بحره في کلشعر ينبوع له علي نظمه طبع يساعده ما كل من,يا مَنْ له قدَمٌ في الفضلِ راسِخة ٌ ,العصر العباسي,سبط ابن التعاويذي, يا من له قدم في الفضل راسخة ومن له علم في العلم مرفوع ومن له مقول كالسيف منصلت وخاطر بحره في کلشعر ينبوع له علي نظمه طبع يساعده ما كل من يرت,0.968
فصحى,تجيءين مشاهد من روعة قطفتها بشاشة روحك ذات زحام ولما تجدها اماني النساء لكيلا تكون سواك مراة كاملة تبوحين تقاطيع من همسات شفاف مذاب برقتك ال قاتلة تروحين صمتا بملء الكلام واشتاق,شوق ,اليمن,ياسين الزكري,تجيءين مشاهد من روعة قطفتها بشاشة روحك ذات زحام ولما تجدها اماني النساء لكيلا تكون سواك مراة كاملة تبوحين تقاطيع من همسات شفاف مذاب برقتك ال قاتلة تروحين صمتا بملء الكلام واشتاق فيك,0.968
فصحى, يا زاءر الحسناء في عيدها ان تهد فانظر ما الذي تهدي اخطاك الحزم واخطاته ايحمل الورد الي الورد,يَا زَائِرَ الْحَسْنَاءِ فِي عِيدِهَا ,لبنان,خليل مطران, يا زاءر الحسناء في عيدها ان تهد فانظر ما الذي تهدي اخطاك الحزم واخطاته ايحمل الورد الي الورد ويبسط السحب يدا,0.853
فصحى, هو فخر الشباب وهو الفتي يحفظه اله فاقد النظراءيا حكيما علي الحداثة في السن تقدمت سنة الحكماء لم نحدث فيما نحدث عن مبتكر ما ابتكرته في العطاء وحلي العقل فيك شتي,هو فخر الشباب وهو الفتى ,لبنان,جبران خليل جبران, هو فخر الشباب وهو الفتي يحفظه اله فاقد النظراءيا حكيما علي الحداثة في السن تقدمت سنة الحكماء لم نحدث فيما نحدث عن مبتكر ما ابتكرته في العطاء وحلي العقل فيك شتي من,0.968
فصحى, من تخلصت او الي من تخلص يا طالب الخلاص ان كنت بالعلم في مزيد انا من العلم في انتقاص ان لنا حكمة تعدت بذاتها منزل القصاص ان كانت الحال ما ذكرنا,ممن تخلصت أو إلى مَن ,العصر العباسي,محيي الدين  بن عربي, من تخلصت او الي من تخلص يا طالب الخلاص ان كنت بالعلم في مزيد انا من العلم في انتقاص ان لنا حكمة تعدت بذاتها منزل القصاص ان كانت الحال ما ذكرنا فاح,0.968
فصحى, جاد الامير بصيده فدعت هديته ثناءي يا طيبهن حماءما علمتني حسن الوفاء اويتهن الي الحشا فملان راسي بالغناء,جاد الأمير بصيده ,لبنان,جبران خليل جبران, جاد الامير بصيده فدعت هديته ثناءي يا طيبهن حماءما علمتني حسن الوفاء اويتهن الي الحشا فملان راسي بالغناء مك,0.946
فصحى, برونق سوح العلي المطلق رفعت سما قبة الرونق وايدت شان معاني الغيوب بجعفر برهانك الاوثق فلولاك قيد بطون الهدي لاهل المظاهر لم يطلق ولولاك يا سيد المرسلين حديث الحقاءق لم يصدق,برونق سوح العلى المطلق ,سوريا,أبو الهدى الصيادي, برونق سوح العلي المطلق رفعت سما قبة الرونق وايدت شان معاني الغيوب بجعفر برهانك الاوثق فلولاك قيد بطون الهدي لاهل المظاهر لم يطلق ولولاك يا سيد المرسلين حديث الحقاءق لم يصدق ومن,0.968
فصحى, يا قاتل اله قلبي كم يجشمني ما يعجز الناس عن هم وازماع كم مهمة قذف تمشي الرياح به حسري تلوذ باكناف واجزاع لا يملك الذمر فيه قلبه فرقا ولا يهم به,يا قاتل الله قلبي كم يجشمني ,العصر الأندلسي,الحكم بن أبي الصلت, يا قاتل اله قلبي كم يجشمني ما يعجز الناس عن هم وازماع كم مهمة قذف تمشي الرياح به حسري تلوذ باكناف واجزاع لا يملك الذمر فيه قلبه فرقا ولا يهم به في,0.968
فصحى, لحج سار ومن راي ركنا الي ركن يسير فالارض تشهد كلها لك انك النوء الغزير حيت اغر كان طلع ة وجه قمر منير,للحجّ سار ومن رأى ,العصر الأندلسي,حيدر بن سليمان الحلي, لحج سار ومن راي ركنا الي ركن يسير فالارض تشهد كلها لك انك النوء الغزير حيت اغر كان طلع ة وجه قمر منير واذا ما غبت,0.882
فصحى, ثقي بي يا معذبتي فاني ساحفظ فيك ما ضيعت مني وان اصبحت قد ارضيت قوما بسخطي لم يكن ذا فيك ظني وهل قلب كقلبك في ضلوعي فاسلو عنك حين سلوت عني,ثِقي بي، يا مُعَذِّبَتي، فإنّي ,العصر الأندلسي,ابن زيدون, ثقي بي يا معذبتي فاني ساحفظ فيك ما ضيعت مني وان اصبحت قد ارضيت قوما بسخطي لم يكن ذا فيك ظني وهل قلب كقلبك في ضلوعي فاسلو عنك حين سلوت عني وما,0.968
فصحى, مني علي براحة من مهجة فالموت ايسر من عذاب داءم مالي سوي الزمن المعلق بالمني نفس ترد في الفءاد الهاءم مكلت فءادي وهي اعنف مالك وتحكمت والحب اجور حاكم مرسومة بالحسن,مني عليَّ براحة ٍ منْ مهجة ٍ ,العصر العباسي,ابن دريد, مني علي براحة من مهجة فالموت ايسر من عذاب داءم مالي سوي الزمن المعلق بالمني نفس ترد في الفءاد الهاءم مكلت فءادي وهي اعنف مالك وتحكمت والحب اجور حاكم مرسومة بالحسن اما,0.968
فصحى, الصبح اصبح والظلا م كما تراه احم حالك يتباريان ويسلكا ن الي الوري ضيق المسالك اسدان يفترسان من مرا به فابه لذلك حملا المالك عن ردي قاض الي خان والك اودي,ألصبحُ أصبحُ، والظّلا ,العصر العباسي,أبوالعلاء المعري, الصبح اصبح والظلا م كما تراه احم حالك يتباريان ويسلكا ن الي الوري ضيق المسالك اسدان يفترسان من مرا به فابه لذلك حملا المالك عن ردي قاض الي خان والك اودي في,0.968
فصحى,انا المعجون من حناء هذي الارض من ملح التراب الحر امي ايقظتني مرة في الفجر يا ايها الولد ,ما قالَ الوَلدُ لأُمه  ,فلسطين, يوسف الديك,انا المعجون من حناء هذي الارض من ملح التراب الحر امي ايقظتني مرة في الفجر يا ايها الولد يبدا الصبح بليل النهار لا شيء,0.733
فصحى, قل لابن سينا لا طبي ب اليوم الا الدرهم هو قبل بقراط وقب لك لجراحة مرهم والناس مذ كانوا علي ه داءرون وحوم وبسحره تعلو الاسا فل في العيون وتعظم يا,قل لابن سِينا: لا طَبيـ ,مصر,أحمد شوقي, قل لابن سينا لا طبي ب اليوم الا الدرهم هو قبل بقراط وقب لك لجراحة مرهم والناس مذ كانوا علي ه داءرون وحوم وبسحره تعلو الاسا فل في العيون وتعظم يا ايها,0.968
فصحى,وحبك يا سيدتي امينه جاء من الهدي بما تبغينه في مثل حي تخلدينه يثير شجو الانفس الرزينه ويستدر الادمع السخينه كانت برنتي اسرة مسكينه مجيدة مرهقة حزينه اخلاقها قويمة مكينه لكنها لم,وَحُبِّكَ يَا سَيِّدَتِي أَمِينَهْ ,لبنان,خليل مطران,وحبك يا سيدتي امينه جاء من الهدي بما تبغينه في مثل حي تخلدينه يثير شجو الانفس الرزينه ويستدر الادمع السخينه كانت برنتي اسرة مسكينه مجيدة مرهقة حزينه اخلاقها قويمة مكينه لكنها لم تكن,0.968
فصحى, في الياس لي عز كفاني ذلي يشركني في الموت كل خل و لست من فضله من فضلي والسيف راع ابلي في المحل يسوقها الي قدور تغلي ترقل فيها بالقدور الجزل ارقالها,في اليأسِ لي عزٌّ كَفاني ذُلّي، ,العصر العباسي,ابن المعتز, في الياس لي عز كفاني ذلي يشركني في الموت كل خل و لست من فضله من فضلي والسيف راع ابلي في المحل يسوقها الي قدور تغلي ترقل فيها بالقدور الجزل ارقالها خ,0.968
فصحى, ما كل من نطقوا الحروف ابانوا فلقد يذوب بما يقول لسان لغة الوفاء شريفة كلماتها فيها عن الحب الاصيل بيان يسمو بها صدق الشعور الي الذرا ويزف عطر حروفها الوجدان لغة,يا قدس ,السعودية,عبدالرحمن العشماوي, ما كل من نطقوا الحروف ابانوا فلقد يذوب بما يقول لسان لغة الوفاء شريفة كلماتها فيها عن الحب الاصيل بيان يسمو بها صدق الشعور الي الذرا ويزف عطر حروفها الوجدان لغة تن,0.968
فصحى, عيد باية حال عدت يا عيد بما مضي ام بامر فيك تجديد اما الاحبة فالبيداء دونهم فليت دونك بيدا دونها بيد لولا العلي لم تجب بي ما اجوب بها وجناء حرف,عيد بأية حال عدت يا عيد ,العصر العباسي,المتنبي, عيد باية حال عدت يا عيد بما مضي ام بامر فيك تجديد اما الاحبة فالبيداء دونهم فليت دونك بيدا دونها بيد لولا العلي لم تجب بي ما اجوب بها وجناء حرف مر,0.968
فصحى, في ثغرها الحلو او في جيدها الحالي لا ارغم اله الا انف عذالي ان يسل قلبي بنار في محبتها فلا وحق هواها لست بالسالي غزالة الحي اشراقا وملتفتا ما كفء جيدك,في ثغرها الحلو أو في جيدها الحالي ,العصر الأندلسي,ابن نباتة المصري, في ثغرها الحلو او في جيدها الحالي لا ارغم اله الا انف عذالي ان يسل قلبي بنار في محبتها فلا وحق هواها لست بالسالي غزالة الحي اشراقا وملتفتا ما كفء جيدك لي,0.968
فصحى, اري الشرف الاعلي اليك مسلما فلا مجد الا ما الي مجدك انتما وما نال هذا الفضل ماض من الوري وان ناله ات فمنك تعلما وهذا مجال قد ركبت طريقه بكل الوري,أَرى الشَّرَفَ الأَعْلَى إِلَيْكَ مُسَلَّما ,العصر العباسي,ابن حيوس, اري الشرف الاعلي اليك مسلما فلا مجد الا ما الي مجدك انتما وما نال هذا الفضل ماض من الوري وان ناله ات فمنك تعلما وهذا مجال قد ركبت طريقه بكل الوري قدما,0.968
فصحى, لي صاحب قد كنت امل نفعه سبقت صواعقه الي صبيبه رجيته لناءبات فساءني حتي جعلت الناءبات حسيبه ولما سالت زمانه اعناته لكن سالت زمانه تاديبه وعسي معوجه يكون ثقافه ولعل مرضه,لي صاحبٌ قد كنتُ آمُلُ نفعَهُ ,العصر العباسي,ابن الرومي, لي صاحب قد كنت امل نفعه سبقت صواعقه الي صبيبه رجيته لناءبات فساءني حتي جعلت الناءبات حسيبه ولما سالت زمانه اعناته لكن سالت زمانه تاديبه وعسي معوجه يكون ثقافه ولعل مرضه دواء,0.968
فصحى, بين بان الحمي وبان المصلي فاتنات من الظباء الجوازي كل هيفاء ردفها في ارتجاج حين تمشي وعطفها في اهتزاز غادة وعدها مجاز ومن ذا يترجي حقيقة من مجاز هتكتني من بعد,بينَ بان الحِمَى وبانِ المُصلَّى ,العصر العباسي,الشاب الظريف, بين بان الحمي وبان المصلي فاتنات من الظباء الجوازي كل هيفاء ردفها في ارتجاج حين تمشي وعطفها في اهتزاز غادة وعدها مجاز ومن ذا يترجي حقيقة من مجاز هتكتني من بعد ان,0.968
فصحى,  سيبقي القليل من الاكاذيب وترهات مداءح الشعراء لملوك الظلمة وسخافات الشعراء المخنثين والشاعرات السحاقيات سيبقي القليل من مواعظ المدرسين المرتشين والزوجات الغبيات والقليل من الاوامر الادارية بالتعين والفصل والطرد والقليل,القليل من التراب ,العراق,أديب كمال الدين,  سيبقي القليل من الاكاذيب وترهات مداءح الشعراء لملوك الظلمة وسخافات الشعراء المخنثين والشاعرات السحاقيات سيبقي القليل من مواعظ المدرسين المرتشين والزوجات الغبيات والقليل من الاوامر الادارية بالتعين والفصل والطرد والقليل ايضا,0.968
فصحى, لءن كنت محتاجا الي الحلم اني الي الجهل في بعض الاحاين احوج وما كنت ارضي الجهل خدنا وصاحبا ولكني ارضي به حين احرج فان قال قوم ان فيه سماجة فقد صدقوا,لئنْ كنتُ محتاجاً إلى الحلمِ إنَّني ,العصر العباسي,محمد بن حازم الباهلي, لءن كنت محتاجا الي الحلم اني الي الجهل في بعض الاحاين احوج وما كنت ارضي الجهل خدنا وصاحبا ولكني ارضي به حين احرج فان قال قوم ان فيه سماجة فقد صدقوا فيما,0.968
فصحى, اسلم سلمت ولا سليم علي البلي فني الرجال ذو القوي فنيت كيف السلامة ان ارد ت سلامة والموت يطلبني ولست افوت واقيل حيث اري فلا اخفي له و يري فلا يعيا,إسلمْ سلمتَ ولا سليمَ على البلى ,العصر الجاهلي,السموأل, اسلم سلمت ولا سليم علي البلي فني الرجال ذو القوي فنيت كيف السلامة ان ارد ت سلامة والموت يطلبني ولست افوت واقيل حيث اري فلا اخفي له و يري فلا يعيا به,0.968
فصحى,  لا تساوم بين مظلوم وظالم لا تساوم حين ياتي الثار يجتاح المظالم لا تساوم بين امر اله في العدل وهاتيك المزاعم لا تساوم ايها المذبوح في الوطن المسالم انهم صبوا,من قصيدة: لا تساوم ! ,السودان,سيد أحمد الحردلو,  لا تساوم بين مظلوم وظالم لا تساوم حين ياتي الثار يجتاح المظالم لا تساوم بين امر اله في العدل وهاتيك المزاعم لا تساوم ايها المذبوح في الوطن المسالم انهم صبوا علي,0.968
فصحى, ابسمي كالورد في الفجر الصباء وابسمي كالنجم ان جن المساء واذا ما كفن الثلج الثري واذا ما ستر الغيم السماء وتعري الروض من ازهاره وتواري النور في كهف الشتاء فاحلمي بالصيف,ابسمي ,لبنان,إيليا أبو ماضي, ابسمي كالورد في الفجر الصباء وابسمي كالنجم ان جن المساء واذا ما كفن الثلج الثري واذا ما ستر الغيم السماء وتعري الروض من ازهاره وتواري النور في كهف الشتاء فاحلمي بالصيف واس,0.968
